"";"ID";"Age";"Gender";"Education";"Country";"Ethnicity";"NScore";"EScore";"OScore";"AScore";"CScore";"Alcohol";"Amphet";"Amyl";"Benzos";"Caff";"Cannabis";"Choc";"Cokes";"Crack";"Ecstasy";"Heroin";"Ketamine";"Legalh";"LSD";"Meth";"Mushrooms";"Nicotine";"Semer";"VSA";"alcohol_user";"ecstasy_user";"cannabis_user";"stimulating_user"
"1103";1106;"18-24";"Female";"Left school at 18 years";"USA";"White";"Very Low";"Low";"High";"Low";"Very Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Used in Last Month";"Used in Last Week";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;1;1;0
"1104";1107;"25-34";"Male";"Some college or university, no certificate or degree";"Other";"White";"Very Low";"Very Low";"Average";"Low";"Very Low";"Used in Last Day";"Used in Last Year";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Used in Last Week";"Used in Last Week";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Used in Last Year";"Used in Last Year";"Used in Last Month";"Never Used";"Used in Last Month";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1105";1108;"25-34";"Female";"Doctorate degree";"UK";"White";"Very Low";"Low";"Low";"High";"Average";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"1106";1109;"25-34";"Female";"Some college or university, no certificate or degree";"Other";"White";"Average";"Low";"Average";"Low";"Very Low";"Used in Last Week";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Never Used";"Used in Last Month";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Year";"Used in Last Year";"Used in Last Decade";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;1;1;1
"1107";1110;"18-24";"Male";"University degree";"UK";"White";"Average";"Average";"Average";"Low";"Low";"Used in Last Week";"Used in Last Month";"Used in Last Decade";"Used in Last Year";"Used in Last Week";"Used in Last Month";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Month";"Never Used";"Used in Last Month";"Used in Last Year";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Month";"Never Used";"Never Used";1;1;1;1
"1108";1111;"18-24";"Male";"Some college or university, no certificate or degree";"UK";"White";"Very Low";"Average";"High";"Average";"Low";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Used in Last Week";"Used in Last Day";"Used in Last Week";"Used in Last Week";"Used in Last Week";"Never Used";"Used in Last Week";"Never Used";"Used in Last Week";"Used in Last Year";"Used in Last Year";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1109";1112;"45-54";"Male";"Some college or university, no certificate or degree";"USA";"White";"High";"Very Low";"Very Low";"Low";"Very Low";"Used in Last Week";"Used in Last Year";"Used over a Decade Ago";"Used in Last Day";"Used in Last Day";"Used over a Decade Ago";"Used in Last Week";"Used in Last Year";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Used over a Decade Ago";"Used in Last Year";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";1;0;0;1
"1110";1113;"18-24";"Female";"Some college or university, no certificate or degree";"USA";"White";"Low";"Low";"Low";"High";"Average";"Used in Last Week";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Used in Last Month";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Used in Last Year";"Used in Last Month";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";1;1;1;0
"1111";1114;"45-54";"Male";"Doctorate degree";"USA";"White";"Low";"Low";"Average";"Average";"Very Low";"Used in Last Day";"Used in Last Day";"Never Used";"Used in Last Decade";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Decade";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Never Used";"Never Used";1;0;1;1
"1112";1115;"18-24";"Male";"Left school at 18 years";"USA";"White";"Very Low";"Very Low";"Low";"Low";"Average";"Used in Last Week";"Never Used";"Used in Last Month";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Month";"Never Used";"Used in Last Month";"Never Used";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Month";"Used in Last Day";"Never Used";"Used in Last Decade";1;1;1;1
"1113";1116;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Very Low";"Low";"Average";"Average";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Week";"Never Used";"Never Used";1;0;1;0
"1114";1117;"45-54";"Male";"Left school at 16 years";"UK";"White";"Low";"Low";"Average";"Very Low";"Low";"Used in Last Year";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Never Used";1;0;1;0
"1115";1118;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"Other";"Average";"Low";"Average";"Low";"Very Low";"Used in Last Week";"Never Used";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Day";"Used in Last Month";"Never Used";"Used in Last Month";"Used in Last Day";"Never Used";"Never Used";1;1;1;0
"1116";1119;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Average";"Very Low";"Average";"Low";"Low";"Used in Last Day";"Used in Last Month";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Used in Last Month";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1117";1120;"25-34";"Female";"University degree";"USA";"White";"Very Low";"High";"High";"Average";"Low";"Used in Last Day";"Used in Last Day";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Used in Last Week";"Used in Last Week";"Used in Last Day";"Never Used";"Used in Last Month";1;1;1;1
"1118";1121;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Average";"Low";"Average";"Very Low";"Very Low";"Used in Last Month";"Used in Last Week";"Never Used";"Used in Last Year";"Used in Last Month";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Year";"Never Used";"Never Used";1;1;1;1
"1119";1122;"25-34";"Male";"University degree";"UK";"White";"Very Low";"Average";"Average";"Average";"Average";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"1120";1123;"25-34";"Male";"Some college or university, no certificate or degree";"USA";"White";"Very Low";"Very Low";"Low";"Low";"Low";"Used in Last Decade";"Used in Last Week";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Decade";"Used in Last Month";"Used in Last Decade";"Never Used";"Never Used";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Never Used";0;0;0;1
"1121";1124;"18-24";"Male";"Left school at 16 years";"Canada";"White";"Low";"Very Low";"High";"Low";"Low";"Used in Last Year";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Day";"Used in Last Year";"Used in Last Month";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Month";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";1;0;1;1
"1122";1125;"25-34";"Male";"Professional certificate/ diploma";"UK";"White";"Low";"Very Low";"Low";"Low";"Very Low";"Used in Last Day";"Used in Last Day";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Year";"Never Used";"Used in Last Month";"Used in Last Day";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1123";1126;"25-34";"Male";"Left school at 18 years";"UK";"White";"Very Low";"Low";"Very Low";"Average";"Low";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Used in Last Week";"Used in Last Month";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Month";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Used in Last Year";1;1;1;1
"1124";1127;"25-34";"Male";"Professional certificate/ diploma";"USA";"White";"Average";"Very Low";"Low";"Low";"Very Low";"Used in Last Month";"Used in Last Month";"Used in Last Decade";"Used in Last Week";"Used in Last Day";"Used in Last Week";"Used in Last Week";"Used in Last Year";"Never Used";"Used in Last Month";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Never Used";"Used in Last Year";1;1;1;1
"1125";1128;"55-64";"Male";"Left school at 17 years";"USA";"White";"Low";"Low";"Low";"Very Low";"Average";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Used in Last Month";"Used in Last Day";"Used in Last Year";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";1;0;1;0
"1126";1129;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Average";"Very Low";"Average";"Average";"Low";"Used in Last Month";"Used in Last Year";"Never Used";"Used in Last Week";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Used in Last Year";"Used in Last Week";"Never Used";"Never Used";1;1;1;1
"1127";1130;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Average";"Very Low";"Low";"Average";"Very Low";"Used in Last Week";"Used in Last Week";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Used in Last Decade";"Used in Last Year";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Never Used";"Used in Last Decade";1;1;1;1
"1128";1131;"18-24";"Male";"Some college or university, no certificate or degree";"Other";"White";"Very Low";"Very Low";"Average";"Average";"Very Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Used in Last Week";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Month";"Used in Last Week";"Never Used";"Never Used";1;0;1;0
"1129";1132;"18-24";"Male";"Some college or university, no certificate or degree";"Other";"White";"Low";"Low";"Average";"Low";"Very Low";"Used in Last Day";"Used in Last Year";"Used in Last Year";"Used in Last Day";"Used in Last Month";"Used in Last Week";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Week";"Used in Last Week";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Used in Last Decade";1;1;1;1
"1130";1133;"25-34";"Female";"Professional certificate/ diploma";"USA";"White";"High";"Average";"Average";"Very Low";"Very Low";"Used in Last Month";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Used in Last Decade";"Used in Last Week";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Month";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";1;0;1;1
"1131";1134;"25-34";"Male";"Masters degree";"New Zealand";"White";"Low";"Low";"Average";"Low";"Low";"Used in Last Day";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Day";1;0;1;1
"1132";1135;"35-44";"Male";"Professional certificate/ diploma";"Australia";"White";"Very Low";"Low";"High";"Average";"Low";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Decade";"Used in Last Year";"Used in Last Week";"Used in Last Week";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1133";1136;"18-24";"Male";"Masters degree";"USA";"White";"Low";"Average";"Low";"Low";"Low";"Used in Last Week";"Used in Last Week";"Never Used";"Used in Last Month";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Used in Last Decade";1;0;1;1
"1134";1137;"18-24";"Male";"Left school at 18 years";"USA";"White";"Average";"Low";"Low";"Very Low";"Very Low";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Month";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Month";"Used in Last Year";"Used in Last Day";"Never Used";"Used in Last Month";1;1;1;1
"1135";1138;"25-34";"Female";"Doctorate degree";"UK";"White";"Low";"Low";"Low";"Low";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"1136";1139;"25-34";"Female";"University degree";"Other";"White";"Low";"Very Low";"Average";"Average";"Very Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"1137";1140;"25-34";"Male";"Some college or university, no certificate or degree";"USA";"White";"Low";"Very Low";"Average";"Very Low";"Low";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Month";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1138";1141;"18-24";"Female";"Some college or university, no certificate or degree";"USA";"White";"Very Low";"Low";"Average";"Average";"Low";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Week";"Used in Last Week";"Used in Last Week";"Used in Last Week";"Used in Last Week";"Used in Last Year";"Used in Last Month";"Used in Last Year";"Never Used";"Used in Last Year";"Never Used";"Used in Last Week";"Used in Last Year";"Used in Last Week";"Never Used";"Used in Last Year";1;1;1;1
"1139";1142;"25-34";"Female";"University degree";"Australia";"White";"Average";"Very Low";"Average";"Low";"Very Low";"Used in Last Month";"Used in Last Decade";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Month";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Decade";1;0;1;0
"1140";1143;"35-44";"Male";"Professional certificate/ diploma";"USA";"White";"Low";"Very Low";"Average";"Low";"Average";"Used in Last Month";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Month";"Never Used";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Year";"Used over a Decade Ago";"Used in Last Day";"Used in Last Month";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;1;1
"1141";1144;"18-24";"Female";"Some college or university, no certificate or degree";"USA";"White";"Average";"Very Low";"Average";"Average";"Very Low";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Month";"Used in Last Day";"Used in Last Month";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;1
"1142";1145;"45-54";"Male";"University degree";"UK";"White";"Low";"Very Low";"Low";"Low";"Low";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Year";"Used in Last Day";"Used over a Decade Ago";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";0;0;0;0
"1143";1146;"18-24";"Male";"Some college or university, no certificate or degree";"Republic of Ireland";"White";"Average";"Very Low";"Low";"Low";"Very Low";"Used in Last Week";"Used in Last Month";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Month";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1144";1147;"25-34";"Male";"Masters degree";"USA";"White";"Low";"Low";"Average";"Low";"Very Low";"Used in Last Week";"Used in Last Day";"Never Used";"Used in Last Month";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Used in Last Week";"Used in Last Month";"Used in Last Month";"Used in Last Month";"Used in Last Year";"Never Used";"Used in Last Decade";1;0;1;1
"1145";1148;"25-34";"Male";"University degree";"USA";"White";"Very Low";"Low";"Low";"Very Low";"Average";"Used in Last Week";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Used in Last Day";"Used in Last Decade";"Used in Last Month";"Used in Last Decade";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Never Used";1;1;0;1
"1146";1149;"35-44";"Male";"Professional certificate/ diploma";"USA";"White";"Average";"Very Low";"Average";"Very Low";"Very Low";"Used in Last Year";"Used in Last Year";"Used over a Decade Ago";"Used in Last Month";"Used in Last Day";"Used in Last Year";"Used in Last Year";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Week";"Used in Last Year";"Used in Last Year";"Used in Last Decade";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;1;1
"1147";1150;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Low";"Low";"Average";"Low";"Low";"Used in Last Week";"Used in Last Month";"Used in Last Decade";"Used in Last Month";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Day";"Used in Last Year";"Used in Last Week";"Used in Last Decade";"Used in Last Year";"Used in Last Decade";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Week";"Never Used";"Used in Last Decade";1;1;1;1
"1148";1151;"45-54";"Female";"Left school at 18 years";"Australia";"White";"Very Low";"Low";"Low";"Average";"Average";"Used over a Decade Ago";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used in Last Week";"Used in Last Day";"Used in Last Week";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";0;0;1;1
"1149";1152;"25-34";"Male";"Some college or university, no certificate or degree";"USA";"White";"Average";"Low";"Average";"Average";"Average";"Used in Last Month";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Month";"Used in Last Month";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Month";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Week";"Never Used";"Used in Last Decade";1;0;1;1
"1150";1153;"35-44";"Female";"University degree";"USA";"White";"Average";"Very Low";"Low";"Low";"Very Low";"Used over a Decade Ago";"Used in Last Year";"Never Used";"Used in Last Decade";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used over a Decade Ago";0;0;1;1
"1151";1154;"55-64";"Female";"Masters degree";"USA";"Other";"Low";"Low";"Low";"Low";"Low";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"1152";1155;"18-24";"Male";"Left school at 18 years";"Other";"White";"Low";"Very Low";"Average";"Low";"Very Low";"Used in Last Month";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Month";"Used in Last Month";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Never Used";1;0;1;1
"1153";1156;"18-24";"Female";"Masters degree";"UK";"White";"Low";"Low";"Average";"Average";"Low";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Month";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Used in Last Week";"Used in Last Year";"Used in Last Year";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1154";1157;"18-24";"Male";"Doctorate degree";"UK";"White";"Very Low";"Average";"High";"Average";"Low";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Used in Last Month";"Used in Last Day";"Used in Last Week";"Used in Last Day";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Used in Last Year";"Used in Last Year";"Never Used";"Never Used";"Used in Last Week";"Used in Last Month";"Never Used";"Never Used";1;1;1;0
"1155";1158;"18-24";"Female";"Some college or university, no certificate or degree";"UK";"White";"Low";"Low";"Low";"Low";"Average";"Used in Last Year";"Used in Last Decade";"Never Used";"Used in Last Month";"Used in Last Year";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"1156";1159;"18-24";"Male";"Some college or university, no certificate or degree";"UK";"White";"Low";"Average";"High";"Average";"Low";"Used in Last Month";"Used in Last Week";"Never Used";"Never Used";"Used in Last Week";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Never Used";"Used in Last Day";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1157";1160;"45-54";"Male";"Professional certificate/ diploma";"Republic of Ireland";"White";"Very Low";"Low";"Low";"Low";"Average";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;1;0
"1158";1161;"25-34";"Female";"University degree";"Canada";"White";"Low";"Low";"Average";"Low";"Very Low";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Month";"Used in Last Year";"Used in Last Week";"Used in Last Year";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Never Used";1;1;1;1
"1159";1162;"18-24";"Male";"Left school at 17 years";"USA";"Other";"Low";"Very Low";"Low";"Low";"Low";"Used in Last Week";"Used in Last Day";"Never Used";"Never Used";"Used in Last Day";"Used in Last Week";"Used in Last Month";"Used in Last Week";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"1160";1163;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Low";"Low";"High";"Low";"Low";"Used in Last Week";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Month";"Used in Last Week";"Used in Last Month";"Used in Last Month";"Never Used";"Used in Last Decade";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Decade";"Used in Last Year";"Used in Last Decade";"Used in Last Year";"Never Used";"Never Used";1;0;1;1
"1161";1164;"25-34";"Female";"Doctorate degree";"UK";"White";"Very Low";"Very Low";"Average";"Average";"Average";"Used in Last Week";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"1162";1165;"25-34";"Male";"Left school at 17 years";"Australia";"White";"Very Low";"Low";"Average";"Low";"Average";"Used in Last Month";"Used in Last Week";"Used in Last Month";"Used in Last Week";"Used in Last Day";"Used in Last Decade";"Used in Last Month";"Used in Last Month";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Year";"Used in Last Decade";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;0;1
"1163";1166;"25-34";"Male";"Some college or university, no certificate or degree";"USA";"White";"Low";"Very Low";"Average";"Low";"Average";"Used in Last Week";"Never Used";"Never Used";"Used in Last Week";"Used in Last Month";"Used in Last Week";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used in Last Week";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Never Used";1;0;1;0
"1164";1167;"35-44";"Male";"University degree";"USA";"White";"Very Low";"Low";"Average";"Average";"Very Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Year";"Never Used";"Never Used";"Used in Last Month";"Used in Last Year";"Never Used";"Used over a Decade Ago";1;0;1;1
